"Pathway_Name","n"
"ABC transporters",17
"Oxidative phosphorylation",9
"Folate biosynthesis",7
"Pentose and glucuronate interconversions",5
"Porphyrin metabolism",5
"One carbon pool by folate",4
"Quorum sensing",4
"Two-component system",4
"Galactose metabolism",3
"Glycine, serine and threonine metabolism",3
"Peptidoglycan biosynthesis",3
"Purine metabolism",3
"Streptomycin biosynthesis",3
"Fatty acid biosynthesis",2
"Methane metabolism",2
"Nicotinate and nicotinamide metabolism",2
"Other carbon fixation pathways",2
"Other glycan degradation",2
"Pentose phosphate pathway",2
"Propanoate metabolism",2
"Pyruvate metabolism",2
"Alanine, aspartate and glutamate metabolism",1
"Amino sugar and nucleotide sugar metabolism",1
"Arabinogalactan biosynthesis - Mycobacterium",1
"Arginine and proline metabolism",1
"Arginine biosynthesis",1
"Base excision repair",1
"Biofilm formation - Escherichia coli",1
"Biosynthesis of various nucleotide sugars",1
"Chloroalkane and chloroalkene degradation",1
"Cyanoamino acid metabolism",1
"Degradation of flavonoids",1
"Glycerolipid metabolism",1
"Glycolysis / Gluconeogenesis",1
"Histidine metabolism",1
"Lysine biosynthesis",1
"Nitrotoluene degradation",1
"Pantothenate and CoA biosynthesis",1
"Penicillin and cephalosporin biosynthesis",1
"Ribosome",1
"Secondary bile acid biosynthesis",1
"Selenocompound metabolism",1
"Starch and sucrose metabolism",1
"Sulfur metabolism",1
"Taurine and hypotaurine metabolism",1
