"id","Subject ID","Subject.Number","placebo","variable","sample","Taxonomy","TaxNum","RelAbun","Alternative.Tax"
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium","2|1239|186801|186802|186803|1506553",0.00061,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Massilioclostridium","2|1239|186801|186802|31979|1935927",0.00026,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii","2|1239|186801|186802|216572|216851|853",13.19955,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis","2|976|200643|171549|815|816|820",5.46762,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__GGB16040|s__GGB16040_SGB9347","2|1224|28211|204455|31989||",3.96821,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4571|s__GGB4571_SGB6317","2|1239|||||",3.7987,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis","2|976|200643|171549|815|816|674529",2.61034,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Intestinimonas","2|1239|186801|186802||1392389",0.03057,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes","2|1239|186801|186802|186803|207244",0.02985,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei","2|976|200643|171549|815|909656|357276",9.75175,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249|f__FGB1249|g__GGB3033","2|1239||||",0.04022,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB33586","2|1239|186801|||",0.02678,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter","2|1224|28216|80840|75682|846",0.02402,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Firmicutes|c__CFGB6261|o__OFGB6261|f__FGB6261|g__GGB74510","2|1239||||",0.0287,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Firmicutes|c__CFGB9115|o__OFGB9115|f__FGB9115|g__GGB4617","2|1239||||",0.02834,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Firmicutes|c__CFGB9581|o__OFGB9581|f__FGB9581|g__GGB9581","2|1239||||",0.01808,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9619","2|1239|186801|186802|216572|",0.01751,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilus","2157|651137||31932|338190|338191",0.02366,""
"HONC60-01-v1","HONC60-01",1,"Week 6","rB","FF08034144","k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107|f__FGB2107|g__GGB6002","2|1798710||||",0.0228,""
