"","sample","total.counts","tube.id"
"1","RB001","18487","1-115"
"2","RB002","48","1-116"
"3","RB003","19329","1-117"
"4","RB004","23563","1-118"
"5","RB005","6133","1-119"
"6","RB006","6081","2-80"
"7","RB007","4061","2-81"
"8","RB008","4082","2-82"
"9","RB009","5582","2-90"
"10","RB010","3887","2-91"
"11","RB011","2082","3-150"
"12","RB012","3783","3-151"
"13","RB013","0","3-152"
"14","RB014","3358","3-160"
"15","RB015","1555","3-161"
"16","RB016","11939","4-200"
"17","RB017","8400","4-201"
"18","RB018","5584","4-202"
"19","RB019","3090","4-210"
"20","RB020","5093","4-220"
"21","RB021","8200","0-001"
"22","RBPOS","8719","1-115"
